college_code,college_name,city,district,region,college_type,government_or_private,autonomous,minority_status
4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur,Nagpur,Vidarbha,,,,
4115,"Shri Ramdeobaba College of Engineering and Management, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4118,"Bapurao Deshmukh College of Engineering, Sevagram",Wardha,Wardha,Vidarbha,,,,
4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4142,"G H Raisoni College of Engineering & Management, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Bhandara,Bhandara,Vidarbha,,,,
4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
4147,"K.D.K. College of Engineering, Nagpur",Nagpur,Nagpur,Vidarbha,,,,
